birth year,tripduration
1874.0,8277
1884.0,2808
1885.0,379787
1886.0,157526
1887.0,419799
1888.0,88149
1889.0,18362
1890.0,53625
1893.0,72211
1894.0,194808
1895.0,63880
1896.0,5764
1897.0,5212
1899.0,289864
1900.0,2630809
1901.0,414485
1905.0,5474
1907.0,18951
1910.0,113974
1912.0,336704
1913.0,70764
1915.0,23678
1916.0,84254
1917.0,164686
1918.0,102352
1919.0,87885
1920.0,4246
1921.0,69155
1923.0,1406346
1924.0,11609
1925.0,105699
1926.0,45838
1927.0,81849
1928.0,84880
1929.0,168146
1930.0,341972
1931.0,251869
1932.0,533803
1933.0,390632
1934.0,657111
1935.0,810384
1936.0,728397
1937.0,1533109
1938.0,1487954
1939.0,1223812
1940.0,5587248
1941.0,5381696
1942.0,7670717
1943.0,6877677
1944.0,8030200
1945.0,8715213
1946.0,17302264
1947.0,22043290
1948.0,22416488
1949.0,23040052
1950.0,30943599
1951.0,40993943
1952.0,43216093
1953.0,67902592
1954.0,74766685
1955.0,78841010
1956.0,92467454
1957.0,116159748
1958.0,120097388
1959.0,130347646
1960.0,151381356
1961.0,148573059
1962.0,169196326
1963.0,184582262
1964.0,177761572
1965.0,186095925
1966.0,180821370
1967.0,194842086
1968.0,214297908
1969.0,237069689
1970.0,263551864
1971.0,239512410
1972.0,223753003
1973.0,234800599
1974.0,244939772
1975.0,251995028
1976.0,267702407
1977.0,280344011
1978.0,282724941
1979.0,330351331
1980.0,359889506
1981.0,372428512
1982.0,420359571
1983.0,546153008
1984.0,450488338
1985.0,527710148
1986.0,505074909
1987.0,983065443
1988.0,630346854
1989.0,548578549
1990.0,577728377
1991.0,524424304
1992.0,462398514
1993.0,397934381
1994.0,273187790
1995.0,204947803
1996.0,135964116
1997.0,113205739
1998.0,97847553
1999.0,51638025
2000.0,26549216
2001.0,13940695
2002.0,1773921
